File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\window\TestWindowsMemberAccess.java,22,7,4,0,6,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\innerio\javafxgui\window\WindowsBuilderWorker.java,52,32,13,3,11,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\io\IoModuleWorker.java,108,72,45,5,16,0,20,104,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi\RmiAdapterForExecutor.java,129,90,48,6,30,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi\RmiAdapterForLocationsHandler.java,80,53,38,11,15,0,12,43,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi\RmiAdapterForRemoteControl.java,65,38,21,1,14,0,13,61,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi\RmiAdapterForTaskManager.java,79,52,30,9,18,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi\RmiAdapterForWebPageHandler.java,146,106,59,14,28,0,12,43,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi\RmiModuleWorker.java,135,100,64,6,24,0,11,41,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\rmi\RmiModuleWorkerBuilder.java,62,45,29,1,8,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\ExecutionTime.java,122,95,70,20,15,0,12,39,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\Task.java,228,155,104,26,30,0,43,319,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\TaskManagerModuleWorker.java,326,229,144,35,37,0,60,416,4,7
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\TaskManagerModuleWorkerBuilder.java,45,26,21,1,10,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\TaskMessage.java,76,55,40,16,12,0,9,37,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\TaskTimeFormatter.java,119,72,39,9,10,0,37,228,5,31
E:\1__Projects\NetBeans\Beam\src\main\java\com\drs\beam\core\modules\tasks\TaskType.java,20,8,3,0,3,0,9,37,5,31
